fecha,tienda_id,sku,talla,demanda_pred
2026-03-10,1,1001,S,2
2026-03-10,10,1040,XXL,2
2026-03-10,10,1040,S,2
2026-03-10,10,1040,M,2
2026-03-10,11,1001,S,1
2026-03-10,11,1001,L,2
2026-03-10,11,1001,XL,2
2026-03-10,10,1040,XL,1
2026-03-10,11,1001,XXL,0
2026-03-10,11,1002,M,0
2026-03-10,11,1002,S,1
2026-03-10,11,1002,XXL,1
2026-03-10,11,1002,XL,2
2026-03-10,11,1003,M,2
2026-03-10,11,1003,XL,1
2026-03-10,11,1001,M,2
2026-03-10,11,1003,XXL,2
2026-03-10,10,1040,L,1
2026-03-10,10,1039,L,0
2026-03-10,10,1035,M,1
2026-03-10,10,1035,XXL,1
2026-03-10,10,1036,M,1
2026-03-10,10,1036,L,1
2026-03-10,10,1036,XL,1
2026-03-10,10,1037,M,2
2026-03-10,10,1039,XXL,1
2026-03-10,10,1037,XXL,1
2026-03-10,10,1038,XL,1
2026-03-10,10,1038,XXL,3
2026-03-10,10,1038,S,2
2026-03-10,10,1038,L,0
2026-03-10,10,1039,S,1
2026-03-10,10,1039,M,1
2026-03-10,10,1037,XL,2
2026-03-10,11,1004,XXL,2
2026-03-10,11,1004,M,1
2026-03-10,11,1004,L,1
2026-03-10,11,1010,S,0
2026-03-10,11,1010,XXL,3
2026-03-10,11,1010,M,1
2026-03-10,11,1011,XXL,0
2026-03-10,11,1011,XL,2
2026-03-10,11,1011,S,1
2026-03-10,11,1010,XL,0
2026-03-10,11,1012,S,2
2026-03-10,11,1012,XL,0
2026-03-10,11,1012,XXL,2
2026-03-10,11,1012,M,1
2026-03-10,11,1013,M,2
2026-03-10,11,1013,XL,1
2026-03-10,11,1013,S,2
2026-03-10,11,1012,L,2
2026-03-10,11,1010,L,1
2026-03-10,11,1009,L,1
2026-03-10,11,1009,XL,2
2026-03-10,11,1004,S,1
2026-03-10,11,1005,XL,2
2026-03-10,11,1005,M,1
2026-03-10,11,1005,L,1
2026-03-10,11,1006,L,0
2026-03-10,11,1006,M,1
2026-03-10,11,1006,S,1
2026-03-10,11,1007,XL,3
2026-03-10,11,1007,M,1
2026-03-10,11,1007,S,1
2026-03-10,11,1008,S,0
2026-03-10,11,1008,XL,1
2026-03-10,11,1008,L,0
2026-03-10,11,1008,XXL,1
2026-03-10,11,1009,S,1
2026-03-10,10,1035,S,1
2026-03-10,10,1035,XL,2
2026-03-10,10,1034,S,1
2026-03-10,10,1034,L,0
2026-03-10,10,1021,XXL,2
2026-03-10,10,1021,L,2
2026-03-10,10,1021,M,0
2026-03-10,10,1022,M,2
2026-03-10,10,1022,S,1
2026-03-10,10,1022,XXL,1
2026-03-10,10,1020,M,2
2026-03-10,10,1022,L,2
2026-03-10,10,1023,XL,1
2026-03-10,10,1023,L,2
2026-03-10,10,1023,M,1
2026-03-10,10,1024,S,0
2026-03-10,10,1024,M,1
2026-03-10,10,1024,XXL,2
2026-03-10,10,1023,S,1
